code	char	count	examples
0000	０	54	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[37]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\n\n３０５ＫＢ以上の空き容量のある\nメモリーカード（ＰＳ２）を\nメモリーカード差込口１へと\n差してください{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[0]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[1]: 操作\nＬ１ボタン（チャージ）＋キック\nチャージ麗１〜５０％の必殺技{END}
0001	１	128	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[8]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nフォーマットをしますか？{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[17]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nメモリーカード差込口１に\nフォーマットのされている\nメモリーカード（ＰＳ２）を\n差してください{END} | game_dump\DATA\MEMCARD.DAT[19]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）に\nシステム設定ファイルがありません\n\nメモリーカード差込口１に\nシステム設定ファイルのある\nメモリーカード（ＰＳ２）を\n差してください{END}
0002	２	101	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[8]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nフォーマットをしますか？{END} | game_dump\DATA\MEMCARD.DAT[9]: このゲームのデータをセーブするには\nメモリーカード（ＰＳ２）に\nシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END} | game_dump\DATA\MEMCARD.DAT[10]: 新たにメモリーカード（ＰＳ２）が\n差されました{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END}
0003	３	35	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[37]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\n\n３０５ＫＢ以上の空き容量のある\nメモリーカード（ＰＳ２）を\nメモリーカード差込口１へと\n差してください{END} | game_dump\DATA\MEMCARD.DAT[502]: ３{END} | game_dump\DATA\MEMCARD.DAT[1003]: ３章{END}
0004	４	35	game_dump\DATA\MEMCARD.DAT[503]: ４{END} | game_dump\DATA\MEMCARD.DAT[1004]: ４章{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[2002]: Ｂ４Ｍ{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[2003]: Ｂ４{END} | game_dump\DATA\SCREVENT\MSG\EV005.DAT[0]: ２００４年４月　発電所　エントランス{END}
0005	５	42	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[37]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\n\n３０５ＫＢ以上の空き容量のある\nメモリーカード（ＰＳ２）を\nメモリーカード差込口１へと\n差してください{END} | game_dump\DATA\MEMCARD.DAT[504]: ５{END} | game_dump\DATA\MEMCARD.DAT[1005]: ５章{END}
0006	６	8	game_dump\DATA\MEMCARD.DAT[1007]: ６章{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[2000]: Ｂ６{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[12]: 『ロック解除キー』\nタグにＡ６とかかれている{END} | game_dump\DATA\SCREVENT\MSG\EV063.DAT[10]: ＥＶ０６３が発生します{END} | game_dump\DATA\SCREVENT\MSG\EV069.DAT[0]: イベントＥＶ０６９発動{END}
0007	７	25	game_dump\DATA\SCREVENT\MSG\EV001.DAT[2]: １９７２年　１１月　採石場　{END} | game_dump\DATA\SCREVENT\MSG\EV001.DAT[3]: １９７２年　１月　採石場　{END} | game_dump\DATA\SCREVENT\MSG\EV014.DAT[0]: １９７２年１１月　発電所{END} | game_dump\DATA\SCREVENT\MSG\EV014.DAT[2]: １９７２年　１月　発電所{END} | game_dump\DATA\SCREVENT\MSG\EV017.DAT[0]: ＥＶ０１７発生{END}
0008	８	28	game_dump\DATA\SCREVENT\MSG\EV007.DAT[1]: ２００４…１９８８…！\nこれは年号だ{END} | game_dump\DATA\SCREVENT\MSG\EV015.DAT[4]: 　　１９８８年８月　発電所　エントランス{END} | game_dump\DATA\SCREVENT\MSG\EV028.DAT[0]: ＥＶ０２８が始まります{END} | game_dump\DATA\SCREVENT\MSG\EV044.DAT[0]: １９８８年{END} | game_dump\DATA\SCREVENT\MSG\EV044.DAT[3]: こちらは１９８８年！{END}
0009	９	34	game_dump\DATA\SCREVENT\MSG\EV001.DAT[2]: １９７２年　１１月　採石場　{END} | game_dump\DATA\SCREVENT\MSG\EV001.DAT[3]: １９７２年　１月　採石場　{END} | game_dump\DATA\SCREVENT\MSG\EV007.DAT[1]: ２００４…１９８８…！\nこれは年号だ{END} | game_dump\DATA\SCREVENT\MSG\EV014.DAT[0]: １９７２年１１月　発電所{END} | game_dump\DATA\SCREVENT\MSG\EV014.DAT[2]: １９７２年　１月　発電所{END}
